설문일련번호,설문제목,설문설명,설문항목번호,설문항목,항목별답변번호,항목별답변,답변응답수,설문등록일자,설문종료여부
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,1,서남병원 ,0,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,2,서남새봄병원,0,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,3,서남은빛병원 ,1,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,4,서울한강병원,1,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,5,아리신병원,0,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,6,양천병원,2,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",1,시민공모 및 명칭선정심사위원회의 심의 통해 선정된 아래의 명칭안 중 부르기 쉽고 병원의 이미지에 맞는 명칭 한 가지를 선택해 주십시오,7,해누리병원,1,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",2,‘양천메디컬센터(가칭)’ 명칭 선정과 관련하여 의견이 있으시면 자유롭게 말씀해 주십시오.,0,‘양천메디컬센터(가칭)’ 명칭 선정과 관련하여 의견이 있으시면 자유롭게 말씀해 주십시오.,,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",3,선생님의 성별은 무엇입니까?,1,남,3,2010-12-16 16:20:29.0,종료
58,양천 메디컬센터(가칭) 명칭 선호도 조사(테스트용),"안녕하세요? 서울시입니다. 

서울시는 노인 인구의 증가 추세에 따라 노인성질환 치료를 위한 전문적인 공공의료서비스 제공을 위해 양천구 신정동에 노인성질환 전문치료병원을 건립 중에 있습니다.

이에 서울시에서는 노인성질환 전문치료병원에 걸맞는 명칭을 제정하고자 명칭 선호도 조사를 실시하고 있습니다. 



응답하신 내용은 통계분석 목적으로만 활용되오니, 바쁘시더라도 설문에 적극 참여해주시면 대단히 감사하겠습니다. 



======&lt; 테스트용 입니다 &gt;==========



&lt;a href=&#39;http://seoul.go.kr&#39;&gt;서울시 홈페이지&lt;/a&gt;",3,선생님의 성별은 무엇입니까?,2,여,2,2010-12-16 16:20:29.0,종료
